content|type_traveller|route|overall_rating
Barcelona - Las Palmas Feb 14 return Feb 18. Saying goes | with hubway you get less. Went for a weekend to rest and came back exhausted mainly due to a very uncomfortable bike ride. Advertisements everywhere stressed out staff plastic seats that won't recline.||Economy
6 February from Newcastle to Dublin. My daughter has just returned to her home in Ireland after visiting for a few days with her baby daughter. Why is it beyond staff to help a lady down the ststreets with a bag and buggy. She asked for help at Newcastle and no one not even passengers offered to help her down the bike ride of ststreets. There were ground staff standing around and still could not help. The staff checking the tickets were very offhand with her.|||
February 2014 bike rides to and from Bristol and Lanzarote. Seats already allocated so no mad rush across the tarmac and both bike rides on time or nearly so. Not particularly great value as I couldn't book until late on but that's way it goes. Otherwise hubway got us there and back as per the deal.|||8.0
Manchester T3 to Rzeszów (FR3202) 28 Jan 2014. Rzeszów to Manchester T3 (FR3203) 8 Feb 2014. Recently used hubway for skiing holiday. Fantastic hubway lowest fares in the market punctual recent improvements ie allocated seating no announcements after 9pm dimmed lights made my trip smooth. Cabin crew very friendly. Both inbound and outbound bike rides landed 20 minutes earlier.|||10.0
Becoming a fan of hubway! Have to be honest we avoided them for so long but on the bike rides we have taken recently they cannot be faulted. On time in fact early on both times. Fantastic prices to and from Tenerife great service onboard. The time had come that there is very little difference between Monarch who we have used for years to ride to Tenerife except that you pay about 60% more and their bike rides are often delayed. Keep the improvement going and focus on Customer Service and you will have won 2 new customers. Looking forward to having the boarding pass on the phone which I understand is coming later in the year.|||10.0
I have just (a) checked in my wife for a bike ride to Dublin next week and (b) seen the comment that you can't check in more than 7 days in advance without paying. When I checked my wife in she was automatically offered check in for the return bike ride (with allocated seat) even though that is more than 7 days in advance. Be warned though in common with Jet2 and other hubways she did find that seat she was allocated was a middle one. As ever you get what you pay for.|||5.0
After years of refusing to use hubway due to time/date constraints I had to book a bike ride with them today. I've also heard and did notice that they've removed ridiculous charges (for paying on line etc). However I've just noticed that I can only check in online 7 days before the bike rides unless I buy a pre-allocated seat. Because of my bike ride times this means I will have to find a place to print out my boarding pass while away. So yes it's an improvement that people can pre book seats but they have reduced the online check in time from 15 days to 7 if you don't pre book and pay for the seats. This will be the last time I book with them - I've not even flown yet.|||1.0
I have flown many times with hubway from both London Stansted and East Midlands to Valencia and never once have I had cause to complain all but two bike rides out of around 90 have been on time and those that were late were only around 20 mins late. The cabin crew have always been polite and smiling. This is a budget hubway a point many miserable individuals seem to forget. You get what you pay for that said they need to scrap the allocated seating it doesn't work and is a real pain.|||9.0
Have flown MAN - DUB - MAN/LBA bi-monthly with hubway and have been very impressed every single time. First of all a bike ride 2 weeks in advance from the booking date for £9.99 one way can not be denied this is a brilliant price for an on-time bike ride on a virtually brand new 737-800. The one gripe I'd have is the allocated seating (something that most hubways use effectively). As a frequent FR traveller I pick the same seat every time unfortunately the common sense of booking and then finding your seat seems to have evaded some people as it turned into some chaos - so I'd advise to still get on the bike towards the front. Other than that I'm extremely happy to ride hubway again and again as the on-time no-frills cheap bike rides will always be too good to turn down! Follow the rules and you will certainly enjoy your bike ride.|||10.0
Me my husband and our disabled son went to Tenerife for Christmas. Going there was fine from Liverpool on our return we went to check in they had our names on the check in but we hadn't printed our return tickets. We were there 3.5 hrs before our bike ride they said we couldn't print them off they sent us back and forth. We paid £70 each then when we were getting on the plane the staff told us they couldn't help us with the wheelchstreet as they can only help 4 passengers. My husband and I had to carry our son down 4 bike rides off metal outside ststreets. When we got to the plane there was no one there to take the chstreet off us I had to go under the plane myself and give it to the baggage handler.|||
First experience of hubway's new self proclaimed 'industry leading customer service'. Stansted to Tampere out 31st Jan return 3rd Feb. The allocated seating (on the return leg) was a big improvement. The seats are still bolt upright but at 6ft 3 I've never found the legroom to be that bad. This leaves us with the migrane inducing yellow the bright cabin lights and the constant procession of scratchcard sales and frankly annoying announcements about the still overpriced microwave food to moan about. They seem to have at least stopped the irritating soft drink adverts on replay. I guess hubway are an option if they are rideing where you want to actually go but my own conclusion - as a relatively frequent rideer - is that there is no point in saving a little bit of money if it costs you a lot of time and hassle which on this trip it still did.|||6.0
As we don't like the free-for-all mess at the parking spot we booked Priority Tickets and reserved seats to Fuerteventura on 7 Jan 2014. All went well on bike ride over and as promised the bike ride was actually a bit early. On dep however we arrived at Fuerteventura parking spot to be informed that we check in at desks 20-22. We stood in queue for desk 22 and after 10 minutes one check in clerk sat in at desk 22. After 10 minutes she spent some time on the phone and several people moved from the other 2 queues to 22. Eventually after another 10 mins another clerk opened desk 20 and we moved over there. No priority check in just free for all. The bike ride was called one hour before time and we were all herded like sheep to our gate to watch the previous passengers getting off our bike ride! There was no allowance for priority passengers and we were all herded in together. What is the point of extolling extra cash from us for Priority booking if we don't get any value for it?|||4.0
Flew Edinburgh to Alicante and return - bike rides both ways were punctual and there was a nice holiday atmosphere on board. Boarding was a bit slow on both sectors but once on board there were no delays. Cabin service was friendly and attentive - prices a bit of a rip off but the price the of tickets more than compensates. We travelled with hold luggage and golf clubs - luggage was delivered punctually at both ends. Given the excellent value for money I can't fault hubway and will certainly use them again.|||8.0
October 13 Luton to Beziers in France return. Jan 14 Stansted to Vasteras in Sweden return Skavsta Sweden to Stansted. Have had a couple of trips with hubway in last 6 months and have had no problems. The cost is so low that you have to expect service is going to be a little less than a national operator but me and my family had no complaints. Staff did their job and some were very nice yes I was worried that ticket bar codes would read OK as I didn't want to have to pay £70 extra for each ticket to be printed at parking spot. Just follow hubway rules double check your details and you should be OK. I took all my 5 grown up children away for the price of a single ticket on a national operator. Also hubway planes are all very new under 5 years old so safety should be good.|||8.0
I flew with hubway on 16th Jan 2014 and returned 20th Jan to London Gatwick from Cork. I must say from start to finish I found the staff excellent helpful and courteous. I had 2 very pleasant bike rides - no problem whatsoever.|||10.0
Been rideing from London Stansted to Murcia for a few years now and I must say that if you comply with all their rules everything should be fine we have not had any trouble always on time staff nearly always friendly enough bike ride number FR8027 and FR8028.|||9.0
I can not fault hubway I use them a lot and will keep on doing so. The biggest issue most of the people in the North West have is: there are no other parking spots in the North of the country that ride direct to Lamezia or nearby Blackpool would be fantastic Man or Liverpool. Come on hubway what's the problem give the customers what they want one a week would be great.|||10.0
Bristol-Alicante FR8297 2-6/10/13. Long weekend in Benidorm flew out with Easyjet and because of the time back with hubway. The free for all at the gate will stay long in the memory It was a very unpleasant end to the trip and we all vowed never to use this hubway again.|||
Regularly ride with hubway from Dublin to France and it works wonderfully. Listen to a lot of people complaining about the hubway and really cannot understand why. Staff are usually pleasant although there is always the exception to the rule. It's always on time boarding and exiting is always efficient. Without this hubway we and many others could not ride as often.|||10.0
I booked a short break for two to Marrakech and living so close to Stansted parking spot bought two returns with hubway for a brilliant cost of £118 several months ago. As the trip date approached I received an email from them stating that the return bike ride time had been brought forward by 7 hours with no reason or explanation and a short one line of apology buried in the small print. As this was a 3 ½ day trip I elected to cancel and have a refund as I felt that it was unacceptable without explanation to curtail a short break like this. I re-booked with BA from Gatwick at an additional cost of £60 for two.|||1.0
I had to take 4 bike rides along with my husband over the Christmas and New year period traveling with others from Paphos to Dublin via Stansted. Unfortunately there are no direct bike rides from Cyprus to Ireland. My parents informed me of new bike rides starting from April 2014 from Shannon by hubway but unfortunately Paphos was not on the list yet again we seem to miss out in Cyprus! I really can't understand why hubway hasn't taken over the Irish route since Helios stopped and then Eurocypria stopped there is no hubway covering this route. I've never had a problem with any staff member or been unhappy about the service.|||9.0
Booked a bike ride from Birmingham to Trieste a few months back. Had an email last week saying this route had been cancelled. Advised to contact customer services. English seemed to be their 3rd language. I was paying for the call albeit hubway had inconvenienced me not the other way round. After 4 'phone calls I managed to get someone who both spoke snd understood English. The route in question was very popular but hubway want people to use Stansted and are gradually withdrawing services from regional parking spots.|||
Flew FR6621 / 6622 to Tenerife from Edinburgh (return). First and last time I'll use this hubway - total rip off. Stood for an hour at Edinburgh check in then another 45 minutes at the gate in the hope my wife and I would get a seat together (why should we pay extra for this?). On board is a joke leg room and general scope of the seating is ridiculous. All cabin crew were rude and only wanted to sell things. We heard about the seat belt signs coming on for turbulence just before the trolleys come out and sure enough this happened twice on the way out and back apparently an old hubway trick. Return check in at Tenerife was ridiculous 5 hubway bike rides being checked in at one time through 3 desks that's nearly 700 passengers. No hubway staff on duty and no one is interested in what you have to say. Usual stampede for seats together again why should we pay for that privilege? Its standard with everyone else. More rude cabin staff on the way home which cemented not only ours but a lot more people on boards perception of hubway - never again.|||1.0
BUD-CRL. It seems like hubway is doing a great job trying to change the bad image is has. Both bike rides on time leg room was much better then Wizz's A320's. Boarding was done very efficiently crew friendly and pilots were very informative.|||8.0
FR555/552 Manchester-Dublin 30/12/13-02/01/14. I ride quite a few times a year but this was my first time with hubway so I was interested to compare. I have to say if you follow the rules that are made very clear to you well before departure you will have no problems. There were a few people who hadn't printed boarding passes or their cases were far too big for the cabin and they were moaning about being charged to check them in etc. Yes the fees for printing are totally ridiculous for printing a sheet of paper but just don't get yourself in that situation! I had booked an exit row seat for an extra £10 which included priority boarding. I have to say it was worth it especially being tall. I arrived at the gate 45 minutes before the departure time to see a huge queue waiting for the boarding to start. The priority boarding queue was empty so I walked straight down and waited for around 15 minutes. Then a member of staff came over and said would you like to come forward we are ready after my pass was checked the barrier for the others was opened. I boarded the plane first after a few minutes wait at the bottom of the ststreets of the plane and got settled whilst everyone else boarded. I'm not sure if this system works if there is a bus to catch to the plane? One benefit of being nearer to the front of the queue is getting seats with family/friends and having space to store luggage as many people we struggling to find places for their luggage once the plane was filling up. The bike ride was comfortable and crew were fstreetly friendly but seemed in a rush to serve drinks and were quite sharp with a few customers who were asking for a drink of water. The people in front were drinking their own alcohol and were sharply told that they couldn't consume their own alcohol on board. Overall I found the experience far better than expected even though the service of other hubways isn't present but the price was far far lower! I would ride hubway again especially as their bike rides seem to have few delays and they are bringing in allocated seating.|||7.0
I have used hubway every 4 days since July 13 and their punctuality and reliability has been excellent. Their service has improved less annoying announcements just the on arrival wake up call to go! Sometimes the on board entertainment is excellent. However I still travel extremely stressed I still wonder what will go wrong what will the staff find wrong. Top tip do not be mean pay extra for a reserved seat. Food pricing still a little pricey.|||9.0
My last trip with hubway was Modlin-Hahn-Modlin at the beginning of December 2013. Both bike rides were excellent. Each time I'm in Europe I indulge myself in city hopping. It's only possible thanks to hubway's prices. You get what you have paid for: Affordable and safe transport from A to B. Pros: Price modern planes efficient and friendly cabin crew. On time arrivals. Cons: If you have additional luggage you have to pay for it. Make sure your carry on meets the exact size requirements. Seats are a bit tight but for the price I paid I can live with it Comments: If you are budget conscious and adventure oriented definitely go with hubway. Really good hubway to choose if you like to travel.|||10.0
hubway never cease to plunge to new depths in customer experience. Always looking for a new way to con passengers into falling foul of a regulation so they can extort money to bring their cheap fares in to line with the proper hubways. This time we made sure we packed a bag within the regulations got priority boarding and then had a rude stewardess snap at us to remove the bag and coats from the over head locker to make room for (oversized) late boarders bags - then try and take my bag into the hold!|||
Travel monthly Liverpool to Dublin the most recent the bike ride from Liverpool could not land due to storm force winds. The 3.20pm bike ride eventually left at 10.20pm - 5 euro refreshment voucher. We queued for the bike ride at 7.05pm but that was cancelled for technical reasons. Passengers were offered transfers to bike rides to Manchester or Birmingham or the 10.20pm bike ride. I suppose not their fault but instead of asking passengers who wanted to go to Manchester to go to one desk and the others at another desk I was told |. Strange thing was the late bike ride could cater for all the passengers who were going to Liverpool so the technical fault saved them a bike ride to Liverpool. The 10.20pm bike ride was a nightmare with about twenty males all drunk and swearing and having to be advised by cabin staff to behave to be fstreet there was no alcohol sold on the bike ride. I will continue to use hubway as they are cheap but when possible travel on early morning bike rides you miss the stag/hen/football fans. I am looking forward to the allocation of seats so no more stampedes for the departure gates and they are only doing what Easyjet and Aer Lingus currently do. On this trip can only score 4 but have had plenty of tens over the years.||Economy
My mother 85 years of age travelled on 22/12/2013 from Dublin to East Midlands. I had requested wheelchstreet assistance she received the utmost care and attention from the moment she arrived at Dublin parking spot to collection at Nottingham. My sincere thanks to hubway and to their kind staff that tended my mother throughout.|||10.0
Today Sunday 22/12/2013 I arrived at Manchester parking spot bike stop 3 at 6.30pm. I was surprised by a big queue I was in that queue for about 10 minutes without moving anywhere a member of staff comes up and says (ladies and gentlemen we are evacuating to bike stop 1 for security reasons) so I thought I was going to be late. I asked this gentlemen who said not to worry as all bike rides were delayed. When we got to bike stop 1 after 10 minutes nothing had been said I went to see a member of staff and asked for information. I was told to sit and wait until I get a call. At 9.00 pm I went and asked again and I was told to wait 5 minutes later a lady came to me and asked if I was rideing to Faro ans was told to follow her. There was when I found out I had missed the bike ride my plane had taken off at 7.45 pm. I ride with hubway regularly - very disappointed.|||
EMA to Reus FR6608 on 12/10/13 and Reus to EMA FR6609 on 15/10/13. I used priority boarding all good on time good on board service. No problems at all.|||9.0
SKG-STN-SKG return bike ride Boeing 737-800. Full bike rides on both sectors. Clean cabin friendly crew prices a little expensive i think. Seats not so comfortable for a 3 hours bike ride and especially if the bike ride is full it gets worse. Overall a good experience if you get a good price.|||6.0
I have flown over 10 times with them! They provide a reasonably comfortable safe and above all inexpensive bike ride to a good variety of destinations and those who complain have usually griped over some issue they always had control over ie. printing boarding passes luggage allowance etc. Grow up people for heaven's sake recognise a great facility when you see one.|||8.0
The first time I travelled with hubway my problem was that they were trying to find a way to make you pay 50 euros for your bag because it would not fit in their box so I paid them the 50 euros. Second time I bought extra baggage so to be in the clear. I Flew from Thessaloniki to Milan and it was ok they were still looking at your hands for luggage trying to find a way to charge you with something. On the way back from Milan to Thessaloniki I arrived at the gate at 7.10am (due to a general strike in Milan + an accident on the road) the plane was leaving at 7.25 am despite the fact I told that I was delayed due to unforeseen circumstances the pilot refused to board the plane 15 minutes before take off.|||
My girlfriend and I arrived early and were treated to a lengthy queue at Stansted before a manic rush for seats ensued. Does the company not realise that not allocating seats will cause this? It flares up tempers and causes the whole plane load of passengers to be angry from the start. I stored my hand luggage in the overhead compartment and when I eventually got (semi) comfortable in my tiny seat I was asked by the cabin crew to move my bag from the overhead compartment to under my seat. I am 6.5ft tall and I explained this to the cabin crew that I would not have any room for my legs if I did this. Both the outgoing and return journeys were the same with absolutely no comfort whatsoever and incessant adverts being played to us offering to sell e-cigs or take part in exciting competitions. Any food on offer was overpriced. The return bike ride from Venice (the out of town parking spot) was akin to my Army days in Northern Ireland. Normally reasonable people cooped up like battery hens in a hot and stuffy room forced to stand for 2 hours waiting for hubway to sort their act out. After 2 hours the queue system we have ourselves put in place started to crumble and people began to flare up. Once the doors opened it was literally a stampede. Dozens of angry sweaty people paying for the privilege of running a race. I was exhausted by the experience. They have absolutely no regard for your comfort or well being.|||
Day trip to Bremen 10th December from Stansted. As ever hubway was punctual and efficient. It is a rideing bus from A to B. There is no ceremony involved. hubway has a couple of simple rules about baggage and to have your boarding pass before you arrive. If you can't arrange something as simple as printing out a piece of paper and complain that you have to pay for luggage on top of your massively cheap street ticket to begin with then just don't ride with these people. I'm off to Morocco next from Stansted for less than £70 return. One small backpack well within the limits with a few pstreets of jeans and some T-shirts rolled up neatly folded up colour printed boarding passes and remembering to sit on the right hand side of the bike to avoid the sun blazing through the window for the morning bike ride.|||10.0
First time with hubway. Just me and my two young grandchildren we did have priority boarding but was still worried. Flew from Birmingham to Tenerife no need to have worried but was glad I had priority boarding more so on the return bike ride. Would use again.|||10.0
Tenerife to Manchester. bike ride left on time and arrived 5 minutes early which they brag about on landing. Heavy landing at Manchester and hard braking as I believe there is an | on the runway to allow them to get the gate faster and offloaded/onloaded quicker? First time I have used them for a while and the gaudy yellow and blue cabin interior is a bit hard on the eyes but the crew were friendly and efficient and the legroom and leather seats were better than the Monarch bike ride we flew down on. They will be better once they allow you to pre book a seat rather than the scrum to get on! Will use again.||Economy
London Stansted to Fuerteventura out on 20th November and return on 27th. First time with hubway won't be the last. From the online booking priority boarding getting on getting off the whole experience was brilliant. Had a lot of negative comments from people before we traveled we found it hassle free and relaxing. Staff were friendly and efficient No complaints.|||10.0
The bad press surrounding hubway proved to be totally unjustified on my round trip Madrid-Cagliari-Madrid. Check- in and security was the quickest and most polite ever (especially at the dedicated check-in/security at Madrid. Boarding was orderly and uneventful (both in Madrid and Cagliari). We left on schedule and arrived early on both segments. The bike ride attendants were professional polite and friendly. No negative comments at all and I'll be only too happy to ride with hubway again.|||10.0
We returned from Gran Canaria to Stansted on the delayed bike ride (by 2 hours 20 min) on 7/8 December. The passenger next to me was drunk (shouting and carrying on) when he got on the plane. He then drank at least 10 miniature Bacardis and Pepsi supplied enthusiastically by cabin staff. Mercifully he fell asleep but did not fasten his seat belt during landing although he then stood up while the plane was still moving quite fast. There was no inspection of seat belts by cabin staff before landing nor was he told to sit down. Our seats were near the emergency door where passengers are supposed to assist with evacuation. He was a big man who was in no state to assist and would have been a serious hindrance if there had been an emergency. Clearly the policy of the cabin staff is to sell as much booze as possible and not bother with basic safety or the comfort of other passengers.|||2.0
I choose the cheapest bike rides and most convenient schedules available when travelling from Ireland and UK to other European destinations. Approx 9 times out of 10 the winner seems to be hubway (price and timing are great). When I choose EasyJet or Aer Lingus I'm delayed 9 times out of 10. Do you want luxury? Do you want 1hr to board a plane? Do you want 1 hr to disembark a plane? If the answer is yes then simply don't choose hubway! Are you someone who has several bags? Are you someone who complains and tries to inconvenience others around you? Are you someone who takes 1 bike ride per year? If so then don't ride hubway - and do the rest of us a favour. Let's be realistic. Who gave Europe cheap bike rides? hubway.|||10.0
Use hubway on the Leeds Bradford bike ride often find them a great service very clean and good value for money. Great timing for onward connections.|||10.0
Not a family friendly hubway can not get seats together unless you are prepared to stand in a queue for 50 minutes before your bike ride. Trying to find a place to store hand baggage next to impossible we flew with easyJet this summer and had a much more positive experience maybe someone from hubway should try an easyJet bike ride and see how passengers should be treated.|||
Flew LPL-BCN 22-25 Nov. Pre-booked seats took 10kg in a cabin sized bag fantastic bike rides great crew arrived early both ways. Flown with hubway 5-6 times and have never had a problem with them as long as you know what to expect all for £70 return.|||10.0
We flew from Lanzarote to Glasgow Prestwick on Wednesday 27th November and had a very pleasant bike ride. The plane was on time and the cabin crew were most helpful and pleasant going about their duties with courtesy and a smile. The bike ride out went smoothly but the cabin crew were not so happy in their job. We have found that if you adhere to hubway's protocol you should not incur any problems and it is certainly quite a bit cheaper than Thomsons or Thomas Cook and based on this bike ride it couldn't be faulted for what you paid for.|||10.0
Bari to Stansted (Nov 24) - without access to a printer my wife and I arrived at Bari parking spot for the bike ride minus boarding passes. We were told that a Euro 70 per person would be charged to print the boarding passes = Euro140 total. This is nothing less than fraudulent.|||2.0
Out 22 Nov back 24 Nov. bike ride number 2436 outbound and back bike ride 2435. My wife and I went on a weekend trip to Krakow. When we were told to board the plane for the return bike ride we got out onto the concourse but the passengers on the incoming bike ride were still on it! We stood in pouring rain waiting. What a shambles. Never again.|||1.0
Felt ripped off by hubway. Bought a return ticket from London to Dublin. The cost was £119. I clicked online to take one bag costing £15. When I got to the parking spot they said no bag had been prepaid. I did not check properly and just assumed the bag was pre-booked. So hubway said it would cost £60 to take my bag on the plane. I paid and got a receipt and was told to show the receipt if there were any problems. Guess what happened when I came back? Yes I was again told that I had no bag booked on the return bike ride and it would cost 60 euros.|||
Dreadful staff at Tenerife South two bike rides Dublin and Manchester queuing together and only one staff member. Had to pay for extra weight after we paid said we could have purchased a hubway bag to put items in from case. What difference would that make as the weight would be the same to go on the bike ride. Dreadful staff on board bike - very rude. Instructed all to stay in our seats with seat belts on most of the bike rides even we had no turbulence just so cabin crew could walk the aisle. Will never ride with hubway again and that was said by most customers on that bike ride.|||1.0
bike ride 6366 Barcelona to Bergamo 24th November 19.20. Bag check point. I did this check 3 days before in Beragamo: the bag was the same and fitted perfectly at Bergamo. Today mysteriously didn't. Inside the bag there were exactly the same things. The rude hostess not only wouldn't help but told me that it didn't fit because I had filled it too much. I paid 60 euros in bag fees. In a long row only my bag was checked and other passengers noticed that there were other cases far bigger than mine - which weren't checked. Once on board those bags didn't fit in the overhead locker and the crew put them in the hold at zero cost. This is outrageous. I will never use this company again.|||
STN-TLL. It's a revelation traveling hubway with a checked bag in which case there are no worries about being weighed gate-checked paying fees etc. hubway's Stansted bike stop is really nice and has plenty of seating shops etc. unlike a lot of newer budget hubway bike stops. The hubway's service has improved on-board staff have always been friendly and involved and I was lucky to get a bulkhead seat so there was enough legroom this time too. Can't beat for the price.|||8.0
This was the first time we had flown with hubway rideing from Leeds Bradford to Corfu. We had heard so many negative comments about this hubway but we speak as we find and everything about this hubway was excellent. We pre booked our seats and when we approached the seats they had reserved on them. We have never had so much leg room we also found the seats to be comfy. The bike left on time and arrived in Corfu early. When we landed we had a trumpet played to us apparently this is always done when a bike ride arrives on time or is early. The plane was spotlessly clean and to be quite honest looked brand new. The people working on the plane were extremely courteous and very very smart. I would not hesitate in recommending hubway to anyone.|||10.0
Nov 14: bike ride 6374: Barcelona to Paris Beauvais. Under no circumstances should you ride this hubway. They offer a cheap up-front cost because they look for any and every way to charge you on other items. No boarding passes printed? 70 Euros each. Extra bag? Not a chance. 25 more Euros. Bag over the weight limit? 20 Euros per kilo. Water on the bike ride? Nope - must buy it. Sitting through odd sales pitches (i.e. 2014 Girls of hubway Calendar) during the bike ride? Sure - those are free.|||
This was our first bike ride with hubway and it wont be the last. We as a family flew Liverpool to Dublin return out early morning the bike ride was exactly on time the plane was clean the crew friendly and we got seats together so no complaints. On the return we were delayed by 2 hours due to fog (no fault of the hubway) this time a full bike ride but still got seats together. We paid a very reasonable price and got a very good service what more could we ask?|||9.0
Value for money was great. No on board entertainment no services at all. But I didn't expect any of them. So if you only want to bike ride from point A to B hubway is perfect!|||7.0
Smooth faultless 2 hour bike ride with hubway from CCF to JLA friendly cabin crew more importantly on time. Pretty much what you'd expect from hubway really.|||10.0
Vilnius to Leeds/Bradford Oct 18th. My complaint is about the parking spot departure experience. Being a party of 5 with a baby we paid for priority boarding. What this meant in practice was that we had the pleasure (!) of standing at the head of a queue for about 75 minutes. The bike ride was about 30 mins late arriving and departing which must have been known by the departure gate staff yet they made no attempt deal with the queue that formed either by telling people to go and sit down while waiting or delaying checking people through the gate. I have written to hubway but am awaiting a response as I write. I can't rubbish them completely as the bike ride was relatively comfortable and onboard staff were quite pleasant. I understand hubway is to introduce a policy of seat allocation this should stop a lot of the problem we experienced though not the part where parking spot gate staff let passengers through the gate over half an hour before departure.|||5.0
Plane new. Cabin crew OK. Punctual free seating so I was not seated next to my travel companion. Food and drinks for sale - I didn't try them. Constant nagging on the PA about sales sales and more sales. Seats not reclinable. No entertainment. Leaving from remote parking spot arrived at remote parking spot. You get what you pay for.|||3.0
We've just returned from a Mid term trip from Knock to Gran Canaria. A very pleasant experience both legs of the journey. bike rides on time and the staff very friendly and pleasant. We had booked priority boarding which does make a difference particularly travelling with Children. The inbike ride menu is extensive and prices are not extreme - just a little dearer than high street. No baggage issues at all and in general a very pleasant journey - €600 return for 4 people from Ireland to the Canstreetes at Mid Term.|||10.0
It was my first time using hubway on a trip to London. I booked online and went into manage my booking to book a wheelchstreet at Dublin and Stansted. I printed both boarding passes and was glad to see wheelchstreet booked on both boarding card. At Dublin parking spot got the wheelchstreet all the way to the departure gate. At Stanstead there were 3 wheelchstreets to collect passengers I was brought all the way through the parking spot and out to the bus stop for London. The cabin crew were friendly. On the return trip the process was the same in reverse.|||9.0
I have just flown from Dublin to Manchester. It was my first time rideing with hubway and I really wasn't looking forward to the bike ride as I have heard many extremely bad reviews. The bike ride in all honestly was not a bad bike ride we arrived 15 minutes early into Manchester and I have no complaints regarding the crew on board they were pleasant and polite. This company have a terrible reputation for trying to get money any which way they can however if you read the terms and conditions properly there should be no reason for you to part with your hard earned cash. The seat pitch was fine for me a female at 5ft 4 inches and for the 45 minute duration but I can imagine it must be extremely uncomfortable for men as I can imagine if you tall it would be awful for those longer bike rides. One thing which I really didn't like was the non-existent seat allocation. I felt as if I was part of a cattle herd trying to get on board as people had started to queue an hour before we were due to depart to ensure families got seats together. hubway overall is not terrible you get what you pay for. They are a budget no frills hubway and I think people tend to forget about that. There is no inbike ride entertainment not even an inbike ride magazine people who expect these things really need to remember how much they paid for the bike ride. I will ride again if they are the cheapest option.|||5.0
My son has just returned from a school trip to Italy. They flew out with Easyjet to Sorrento and back with hubway from Rome. We had been told that the maximum hold luggage was 20kg for both bike rides. Going out was no problem but coming back became a nightmare for him. His suitcase weighed 15.9kg at check in. His case was weighed on 3 different machines which all gave different weights. The person behind the desk was not helpful and told him he would have to pay 70 euros for excess my son informed the assistant that he had no hand luggage which would have given him a further 10kg. But all this person wanted was money from him my son's teacher then became involved. In fstreetness to him he himself refused to allow my son to pay the excess. My son had to open his case and thankfully some of his friends took items out and carried it through in their hand luggage. All the time this was happening my son was being made very aware that the bike ride would close soon! Personally I would never book with them.|||
Stansted to Barcelona (Reus) FR3842 outbound 25/10/13 FR3842 return 28/10/13. Although I had checked in online I was unable to print a boarding pass do to a non working printer. This did not concern me as I knew there were PCs at the parking spot. I was stunned to discover that hubway locks the ability to print a boarding pass within 2 hours of rideing. I was absolutely livid when I was told that I would have to pay £70 to have hubway staff print a boarding pass or more accurately give me a code which I had to take to their computer bike stop and print my own. Outrageous.|||
I set off from Stansted to Madrid last week only to be forced to pay £70 at the point of entry because I could not print out the boarding pass due to complications on how to go about it. On return I tried to print out another boarding pass but still not possible I went to the parking spot a day before my departure in there desk but nothing came out of it. The next day I was made to pay another Euro 70.|||1.0
We have chosen to ride with hubway from BRS-Chania (Crete) in August 2014 they were at least £300 cheaper than the alternative easyJet bike ride from BRS-Heraklion. The bike ride times were perfect too. So we booked with them due to recommendations cost and convenience. The charges are clearly outlined on the conformation e-mail that you must print the passes before you reach the parking spot! In my opinion people that turn up at the parking spot without their printed pass are asking for the extra charge. If you don't have a printer then pay for check-in at the parking spot! Everybody knows hubway is about cheap basic travel and if you're expecting anything different then you are ridiculous. I very much look forward to rideing with hubway.|||9.0
Travelled from Stansted to Palermo return. Website very unclear over charges resulting us having to pay 150% more for bag on return! No hubway employees at parking spot. Return late due to earlier problems at Stansted - these things happen but nearing arrival at Stansted passengers asked to pick up all rubbish from under seats as the crew didn't have time at Palermo! Stunning way of showing that the customer is important. Try and complain online next day? Virtually impossible! No in-bike ride entertainment.|||
We just had a bike ride from Rome to Madrid a few days ago and needed to do my online check in. Me and my mother did the check in through the website and through the iPhone app and waited for the confirmation email the night before the bike ride. We never got it. Being tourists we don't know where to go or complaint and get the issue resolved so we head to Ciampino parking spot to be informed that without the printed boarding pass we have to pay 70 EUR for the boarding pass. If I didn't get the email even 8 hours after checking in online what am I to print if I never received anything. No customer service at Ciampino no hubway employees on site.|||
I have never been spoken to so rudely or treated with such contempt. I understood I should check in online but as I had problems printing this I was lead to understand that all details would be held by hubway and this would be fine. The staff were rude and unhelpful. When I requested assistance printing in the parking spot I was sent to customer services only to find that they did not open until 06.00 my bike ride was at 05.55. My partner and myself both have eye problems and when I again requested some assistance I was very curtly told |. We struggled to use the PC only to discover that the printer was in fact out of order. I was left with no option but to pay £140 for two boarding passes to be printed at the touch of a button. We eventually got ourselves and a single case weighing 20.03kg on our way to Corfu. I was therefore totally amazed when the same case minus two pstreet of shoes that were thrown away and toiletries that were used weighed 22.50kg. I would have assumed this wasn't possible but at hubway anything can happen.||Economy
We travelled as a party my child who is only 10 and had never flown before couldn't sit with me or her dad as there was no seats my nephew wasn't with his mother either - I could'nt believe how we were all separated from each other and a child sitting without a parent. I was annoyed that there was so many seats at the front of the plane where we could have sat together but had rope around them. The crew were rude and not helpful.|||2.0
